,created_at,user_id,text
0,2022-07-26 20:03:14+00:00,16117160,Saw this @WSJ article on remote work coincidentally on the same day my employer @Workiva said we can spend 25 worki… https://t.co/W6CoaFwmTd
1,2022-07-26 20:01:20+00:00,4440814155,Much of the discussion surrounding the office sector has focused on work-from-home #WFH policies driving employees… https://t.co/zDMjq23dmu
2,2022-07-26 19:57:28+00:00,2176790760,"New Remote Customer Support Job! Stock&amp;Buy AS: Customer Support Manager 
Apply here! https://t.co/PeNrSWxmxn… https://t.co/pL8eYHZEus"
3,2022-07-26 19:56:55+00:00,229540362,"The most recommended #WFH tips from remote employees:
https://t.co/2AMBQGBGGg https://t.co/18FYRV7pEt"
4,2022-07-26 19:47:38+00:00,2176790760,"New Remote Management and Finance Job! Cloudlinux: Project Manager REMOTE 
Apply here! https://t.co/J6x0bZZ5ds… https://t.co/6I6pjZ3Weu"
5,2022-07-26 19:47:32+00:00,474432166,"7 Useful Tips to Help Remote Workers Cope | Blogging Guide
https://t.co/K6J3oQqeJ9
#remotework #wfh #productivity… https://t.co/RyjDFkuGTU"
6,2022-07-26 19:38:02+00:00,2176790760,"New Remote All Other Remote Job! Hey, banco : Gerente Data Analytics 
Apply here! https://t.co/hMNObaajQZ… https://t.co/KlruFp6ZQB"
7,2022-07-26 19:37:35+00:00,34181507,"Top Hashtag stats thanks to @Brand24 from today's #BizTalks.

#Sponsored #ATTInfluencer #BizTalks #Healthcare… https://t.co/SmWa7YiFZm"
8,2022-07-26 19:36:40+00:00,34181507,"Topic word-cloud thanks to @Brand24 from today's #BizTalks 

#Sponsored #ATTInfluencer #BizTalks #Healthcare… https://t.co/gdpRXkM6oa"
9,2022-07-26 19:34:14+00:00,15925951,Having three hours to actually do work is precious time. #Focus #WFH
10,2022-07-26 19:33:25+00:00,2176790760,"New Remote All Other Remote Job! Hey, banco : Gerente Data Analytics 
Apply here! https://t.co/pRImLyJC9a… https://t.co/9u69rjB9TV"
11,2022-07-26 19:33:24+00:00,2176790760,"New Remote All Other Remote Job! Hey, banco : Gerente Data Analytics 
Apply here! https://t.co/XXhmcNOkGF… https://t.co/HESf4DXxiJ"
12,2022-07-26 19:30:00+00:00,936632796617035776,Business Support Advisor F/T #FTC @placesforpeople #Homebased #RemoteWork https://t.co/wh38cbti9O #Jobs #AdminJobs… https://t.co/KxRwXE6iiG
13,2022-07-26 19:29:49+00:00,1414629234576805889,"👋 New Remote Job! Senior Data Analyst, Go-To-Market Automation at Block. #RemoteJobs #RemoteWork #Remote… https://t.co/suNpuwtnsF"
14,2022-07-26 19:29:49+00:00,1414629234576805889,"👋 New Remote Job! Senior Consultant, Implementation at dentsu. #RemoteJobs #RemoteWork #Remote #RemoteWorking… https://t.co/s9hhE9ZoS0"
15,2022-07-26 19:29:48+00:00,1414629234576805889,👋 New Remote Job! IT Helpdesk at AireSpring. #RemoteJobs #RemoteWork #Remote #RemoteWorking #WorkAnywhere #wfh Appl… https://t.co/eMPmsWL10w
16,2022-07-26 19:29:45+00:00,1414629234576805889,👋 New Remote Job! Global Sourcing Specialist - CAPEX at O-I. #RemoteJobs #RemoteWork #Remote #RemoteWorking… https://t.co/pZjWQwDQQG
17,2022-07-26 19:29:44+00:00,1414629234576805889,👋 New Remote Job! Customer Support Specialist at Universe. #RemoteJobs #RemoteWork #Remote #RemoteWorking… https://t.co/j5puSDRZBe
18,2022-07-26 19:29:43+00:00,1414629234576805889,👋 New Remote Job! Product Lead - Commerce Tools at Universe. #RemoteJobs #RemoteWork #Remote #RemoteWorking… https://t.co/FrgaKqAqB2
19,2022-07-26 19:29:42+00:00,1414629234576805889,👋 New Remote Job! Product Marketing Lead at Universe. #RemoteJobs #RemoteWork #Remote #RemoteWorking #WorkAnywhere… https://t.co/KoYMy0DUs4
20,2022-07-26 19:29:38+00:00,1414629234576805889,👋 New Remote Job! Product Designer at Universe. #RemoteJobs #RemoteWork #Remote #RemoteWorking #WorkAnywhere #wfh A… https://t.co/jWlegzrwGE
21,2022-07-26 19:28:32+00:00,2176790760,"New Remote All Other Remote Job! LaPieza: Backend Developer (Python-Django) 
Apply here! https://t.co/TuFLLwxWWl… https://t.co/eZzydW5vzW"
22,2022-07-26 19:18:00+00:00,1291840784,"18 &amp; 19 year olds in #Plymouth #UK get £15 for ordering from a famous food delivery app &amp; filling in a survey. 

Si… https://t.co/iBtOKcVWuY"
23,2022-07-26 19:16:01+00:00,2938471462,"Want to work remotely as a Salesforce Administrator (📍Atlanta, Georgia, United States) at @guidepointsecurity?… https://t.co/M40RhcKH17"
24,2022-07-26 19:15:59+00:00,1452319340,"Come help us grow, advance your #career, and have fun! We offer competitive pay and a rich benefits program. Availa… https://t.co/QyE0I78vGB"
25,2022-07-26 19:13:09+00:00,182004865,Frustrated with all the technology involved with home-schooling your kids? Give us a call! #RemoteSupport… https://t.co/aSYipDndMH
26,2022-07-26 19:11:17+00:00,2176790760,"New Remote Job! QuickMail: Senior Ruby on Rails Engineer (4 days / week) 
https://t.co/NSeJWN2FMC
#remotework… https://t.co/SJt074nKaB"
27,2022-07-26 19:08:20+00:00,2176790760,"New Remote All Other Remote Job! TotalPass: Ejecutivo de ventas GYM´s 
Apply here! https://t.co/A49zhJTiCk… https://t.co/Hpsf9WVEWp"
28,2022-07-26 19:08:18+00:00,2176790760,"New Remote All Other Remote Job! TotalPass: Head de Marketing 
Apply here! https://t.co/9B8tL3nRuT
#remotework… https://t.co/32mT1M8jID"
29,2022-07-26 19:07:40+00:00,1255947723561488384,#remotework allows employees to work outside of an  office. People have the #flexibility to design their days so th… https://t.co/UVtPe3h22P
30,2022-07-26 19:06:15+00:00,218670058,The ONLY way to beat the Seattle heat is to pack your things and work from the beach where’s the s nice breeze and… https://t.co/wepLMtlPJV
